Type,Parent,SKU,Name,Stock,Sale price,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 global
variation,3243314-712,6463552111681,Rustic gathered top ecru,1,27.9,35.9,Size,XS,1
variation,3243314-712,7724860455770,Rustic gathered top ecru,1,27.9,35.9,Size,S,1
variation,3243314-712,7020790339293,Rustic gathered top ecru,1,27.9,35.9,Size,M,1
variation,3243314-712,2617717480233,Rustic gathered top ecru,1,27.9,35.9,Size,L,1
variation,3243314-712,7995944145160,Rustic gathered top ecru,1,27.9,35.9,Size,XL,1
variation,3243314-450,5573669775276,Rustic gathered top beige,1,27.9,35.9,Size,XS,1
variation,3243314-450,5635387948225,Rustic gathered top beige,1,27.9,35.9,Size,S,1
variation,3243314-450,5429526789082,Rustic gathered top beige,1,27.9,35.9,Size,M,1
variation,3243314-450,2919268239912,Rustic gathered top beige,1,27.9,35.9,Size,L,1
variation,3243314-450,9161514446097,Rustic gathered top beige,1,27.9,35.9,Size,XL,1
variation,3243314-505,9306642031194,Rustic gathered top khaki,1,27.9,35.9,Size,XS,1
variation,3243314-505,9305004763649,Rustic gathered top khaki,1,27.9,35.9,Size,S,1
variation,3243314-505,4735345374701,Rustic gathered top khaki,1,27.9,35.9,Size,M,1
variation,3243314-505,9472349809209,Rustic gathered top khaki,1,27.9,35.9,Size,L,1
variation,3243314-505,1238423086332,Rustic gathered top khaki,1,27.9,35.9,Size,XL,1
variation,3470353-527,2881714097180,Rustic crossed blouse medium green,1,25.9,39.9,Size,XS,1
variation,3470353-527,6186190026658,Rustic crossed blouse medium green,1,25.9,39.9,Size,S,1
variation,3470353-527,6944003668704,Rustic crossed blouse medium green,1,25.9,39.9,Size,M,1
variation,3470353-527,3762929905116,Rustic crossed blouse medium green,1,25.9,39.9,Size,L,1
variation,3470353-527,4313259380203,Rustic crossed blouse medium green,1,25.9,39.9,Size,XL,1
variation,3590311-681,4810564886493,Chicago hoodie burgundy,1,17.9,45.9,Size,XS,1
variation,3590311-681,7984122342195,Chicago hoodie burgundy,1,17.9,45.9,Size,S,1
variation,3590311-681,2493125336752,Chicago hoodie burgundy,1,17.9,45.9,Size,M,1
variation,3590311-681,4498795887234,Chicago hoodie burgundy,1,17.9,45.9,Size,L,1
variation,3590311-681,8354573071736,Chicago hoodie burgundy,1,17.9,45.9,Size,XL,1
variation,3678329-250,3724829029579,Flowy pants with linen white,1,35.9,47.9,Size,XS,1
variation,3678329-250,2760691036109,Flowy pants with linen white,1,35.9,47.9,Size,S,1
variation,3678329-250,7634508689024,Flowy pants with linen white,1,35.9,47.9,Size,M,1
variation,3678329-250,7724924929926,Flowy pants with linen white,1,35.9,47.9,Size,L,1
variation,3678329-250,9827410804135,Flowy pants with linen white,1,35.9,47.9,Size,XL,1
variation,3678329-800,9924378262123,Flowy pants with linen black,1,35.9,47.9,Size,XS,1
variation,3678329-800,9353401695505,Flowy pants with linen black,1,35.9,47.9,Size,S,1
variation,3678329-800,9459148673490,Flowy pants with linen black,1,35.9,47.9,Size,M,1
variation,3678329-800,2549196518787,Flowy pants with linen black,1,35.9,47.9,Size,L,1
variation,3678329-800,5709895304076,Flowy pants with linen black,1,35.9,47.9,Size,XL,1
variation,3678329-832,7404985988752,Flowy pants with linen taupe,1,35.9,47.9,Size,XS,1
variation,3678329-832,5217779953208,Flowy pants with linen taupe,1,35.9,47.9,Size,S,1
variation,3678329-832,8736468529596,Flowy pants with linen taupe,1,35.9,47.9,Size,M,1
variation,3678329-832,3603941128412,Flowy pants with linen taupe,1,35.9,47.9,Size,L,1
variation,3678329-832,5758562528552,Flowy pants with linen taupe,1,35.9,47.9,Size,XL,1
variation,3678329-600,7616527280144,Flowy pants with linen red,1,35.9,47.9,Size,XS,1
variation,3678329-600,4984239109758,Flowy pants with linen red,1,35.9,47.9,Size,S,1
